net,length_um
m_awaddr[5],19.86µm
net192,19.845µm
s_araddr[95],19.835µm
s_awaddr[29],19.8µm
s_rdata[107],19.75µm
s_awaddr[113],19.68µm
s_awaddr[23],19.68µm
m_awaddr[4],19.655µm
net120,19.65µm
s_bresp[0],19.62µm
s_wready[0],19.62µm
m_bresp[1],19.62µm
s_awaddr[63],19.62µm
m_araddr[15],19.595µm
_0106_,19.56µm
_0153_,19.56µm
net86,19.555µm
net445,19.53µm
_0044_,19.51µm
m_awaddr[23],19.48µm
net469,19.425µm
net788,19.4µm
m_wdata[30],19.38µm
s_rdata[86],19.355µm
s_wdata[72],19.355µm
net134,19.33µm
s_awaddr[115],19.32µm
s_awaddr[108],19.27µm
m_awaddr[17],19.26µm
s_awaddr[121],19.21µm
net477,19.2µm
s_awaddr[62],19.2µm
s_wdata[64],19.2µm
net500,19.15µm
net222,19.14µm
m_awaddr[27],19.14µm
s_araddr[81],19.125µm
net464,19.09µm
net530,19.09µm
m_araddr[6],19.08µm
net175,19.08µm
s_awaddr[95],19.08µm
net485,19.02µm
net143,18.98µm
s_wdata[9],18.935µm
_0202_,18.91µm
net119,18.91µm
_0127_,18.905µm
s_araddr[68],18.825µm
s_wdata[22],18.79µm
s_wdata[25],18.79µm
net158,18.765µm
s_rdata[68],18.755µm
s_awaddr[24],18.73µm
s_wdata[31],18.72µm
s_wdata[73],18.695µm
m_awaddr[12],18.66µm
s_bresp[6],18.66µm
net829,18.65µm
s_rresp[4],18.645µm
s_araddr[127],18.635µm
net579,18.61µm
s_wdata[96],18.6µm
s_arvalid[1],18.575µm
s_bresp[4],18.54µm
s_awaddr[126],18.54µm
s_wdata[92],18.525µm
s_araddr[4],18.515µm
s_wdata[8],18.515µm
s_wdata[86],18.48µm
s_araddr[17],18.455µm
m_araddr[2],18.42µm
net220,18.42µm
_0045_,18.38µm
net518,18.31µm
s_awaddr[59],18.3µm
s_awaddr[47],18.25µm
s_awaddr[85],18.25µm
net329,18.24µm
net333,18.19µm
net491,18.18µm
net503,18.18µm
s_wdata[118],18.18µm
m_rdata[22],18.175µm
net481,18.165µm
s_araddr[61],18.165µm
s_rdata[108],18.155µm
net630,18.135µm
s_awaddr[44],18.12µm
net455,18.115µm
s_rdata[79],18.035µm
net652,18.025µm
net430,18.01µm
m_rdata[29],17.985µm
s_araddr[31],17.975µm
s_wdata[122],17.975µm
m_wdata[2],17.94µm
s_rdata[2],17.94µm
s_awprot[6],17.915µm
net365,17.89µm
net162,17.89µm
net317,17.82µm
net429,17.82µm
net527,17.805µm
m_rdata[19],17.76µm
s_awaddr[26],17.76µm
s_awaddr[78],17.76µm
m_awaddr[26],17.7µm
s_awready[3],17.7µm
s_bresp[3],17.7µm
s_bvalid[2],17.7µm
s_awaddr[86],17.7µm
s_rdata[1],17.675µm
m_rdata[1],17.625µm
s_araddr[50],17.625µm
s_araddr[82],17.625µm
s_araddr[83],17.625µm
s_araddr[18],17.615µm
net499,17.59µm
net314,17.58µm
