net,length_um
cpu_awaddr\[9\],683.795µm
s_rdata\[43\],683.045µm
s_araddr\[67\],682.99µm
s_awaddr\[60\],682.92µm
s_araddr\[40\],682.91µm
gpio2_out[15],682.66µm
gpio2_in[28],682.18µm
s_awaddr\[95\],681.19µm
cpu_rdata\[19\],679.655µm
s_wdata\[93\],679.58µm
s_arvalid\[3\],679.26µm
gpio2_in[24],678.47µm
cpu_rdata\[1\],676.995µm
gpio2_out[14],675.675µm
s_awaddr\[93\],675.35µm
gpio2_dir[3],673.885µm
s_araddr\[57\],673.825µm
s_wvalid\[1\],672.815µm
s_rready\[3\],672.645µm
s_wdata\[88\],670.835µm
s_rdata\[123\],670.265µm
s_araddr\[38\],670.105µm
gpio2_in[10],669.66µm
gpio2_out[29],669.53µm
gpio2_out[6],669.29µm
s_rdata\[46\],668.295µm
gpio2_dir[2],667.61µm
s_rdata\[48\],666.725µm
s_wdata\[63\],664.67µm
s_rdata\[32\],664.07µm
s_arvalid\[0\],662.365µm
s_awaddr\[80\],662.11µm
s_wdata\[109\],662.01µm
s_rdata\[70\],661.305µm
gpio2_out[4],660.24µm
gpio2_in[4],660.205µm
s_rdata\[126\],659.435µm
s_wdata\[114\],658.73µm
cpu_rdata\[3\],658.63µm
s_awaddr\[92\],657.495µm
cpu_rdata\[10\],657.19µm
s_wdata\[79\],656.9µm
s_araddr\[109\],655.98µm
s_wdata\[68\],655.475µm
gpio2_in[29],655.25µm
s_rdata\[40\],654.605µm
s_awaddr\[49\],651.6µm
gpio2_in[25],651.35µm
s_wdata\[36\],650.635µm
s_awvalid\[1\],648.35µm
s_wdata\[65\],646.58µm
gpio2_dir[8],646.08µm
s_araddr\[41\],644.75µm
gpio2_in[0],643.8µm
s_wdata\[118\],643.19µm
s_awaddr\[98\],641.45µm
s_araddr\[73\],640.135µm
gpio2_in[7],639.245µm
cpu_awaddr\[10\],638.715µm
s_bready\[2\],638.71µm
s_awaddr\[51\],636.48µm
s_wdata\[76\],636.43µm
s_wstrb\[10\],636.405µm
s_araddr\[75\],635.695µm
s_awaddr\[96\],634.985µm
s_araddr\[54\],634.805µm
s_awaddr\[94\],634.39µm
cpu_rdata\[8\],633.19µm
s_awaddr\[48\],633.12µm
gpio2_dir[24],632.88µm
gpio2_in[14],631.32µm
s_wdata\[117\],631.13µm
gpio2_out[28],630.87µm
s_araddr\[58\],630.365µm
s_rresp\[6\],630.065µm
s_awaddr\[62\],629.4µm
gpio2_out[19],628.765µm
s_rdata\[37\],628.31µm
cpu_rdata\[12\],627.925µm
gpio2_dir[4],627.22µm
s_rdata\[39\],626.895µm
s_wdata\[127\],625.67µm
gpio2_in[3],625.635µm
s_bresp\[4\],624.31µm
s_araddr\[111\],623.94µm
s_wdata\[33\],623.755µm
s_bvalid\[2\],623.39µm
cpu_rdata\[20\],622.355µm
cpu_wstrb\[1\],619.27µm
cpu_rdata\[23\],617.815µm
gpio2_in[15],616.8µm
cpu_rdata\[9\],616.635µm
s_araddr\[108\],616.6µm
s_bresp\[5\],614.83µm
s_wdata\[54\],613.59µm
gpio2_in[19],612.865µm
gpio2_in[26],612.685µm
gpio2_out[24],611.5µm
s_awaddr\[46\],609.23µm
gpio2_out[31],609.205µm
s_rdata\[111\],608.955µm
gpio2_in[22],608.695µm
s_wvalid\[2\],606.56µm
cpu_awready,606.11µm
s_wdata\[89\],605.59µm
s_bready\[3\],604.79µm
s_araddr\[103\],604.62µm
s_araddr\[53\],603.045µm
gpio2_in[13],602.93µm
s_araddr\[74\],602.335µm
s_araddr\[56\],601.685µm
s_wdata\[55\],601.555µm
s_araddr\[98\],601.5µm
s_rdata\[105\],601.025µm
s_awaddr\[53\],600.35µm
s_araddr\[126\],598.145µm
s_wdata\[61\],597.845µm
s_wdata\[59\],593.115µm
cpu_awprot\[0\],592.895µm
s_wdata\[84\],592.51µm
cpu_awvalid,592.27µm
s_bvalid\[3\],592.15µm
s_wdata\[96\],591.01µm
s_wstrb\[9\],590.9µm
s_rdata\[118\],590.465µm
s_rdata\[124\],589.715µm
gpio2_in[11],587.81µm
s_awaddr\[54\],587.75µm
cpu_awaddr\[1\],584.81µm
s_araddr\[124\],584.105µm
s_wdata\[42\],583.395µm
s_awaddr\[55\],582.59µm
s_awaddr\[47\],582.47µm
s_araddr\[127\],582.305µm
gpio2_in[6],581.805µm
s_wready\[2\],581.555µm
s_araddr\[101\],581.48µm
s_bresp\[7\],581.11µm
s_rdata\[125\],578.225µm
s_araddr\[72\],578.095µm
s_araddr\[52\],578.045µm
s_wdata\[51\],577.935µm
s_araddr\[69\],577.05µm
s_araddr\[125\],576.545µm
s_awaddr\[59\],575.63µm
s_wdata\[56\],574.52µm
s_rdata\[117\],574.365µm
spi_miso,573.735µm
s_wstrb\[7\],572.955µm
cpu_bvalid,571.75µm
gpio2_in[2],571.505µm
s_rresp\[7\],570.515µm
cpu_rdata\[14\],570.2µm
s_awaddr\[45\],570µm
s_rdata\[122\],567.425µm
cpu_awaddr\[6\],567.41µm
s_wdata\[39\],567.355µm
s_araddr\[115\],565.985µm
s_arready\[1\],565.09µm
s_araddr\[113\],564.665µm
s_araddr\[32\],562.66µm
cpu_bready,562.34µm
s_awaddr\[57\],561.83µm
s_bresp\[6\],559.295µm
s_awaddr\[104\],557.87µm
cpu_awaddr\[5\],557.73µm
s_rvalid\[3\],557.205µm
s_awaddr\[121\],555.95µm
s_wdata\[102\],555.07µm
s_wdata\[37\],553.635µm
cpu_wdata\[10\],553.515µm
s_araddr\[97\],553.385µm
s_rdata\[114\],553.365µm
s_araddr\[110\],551.945µm
s_araddr\[106\],548.575µm
s_rdata\[97\],548.345µm
s_araddr\[48\],547.69µm
s_araddr\[45\],546.725µm
s_awaddr\[58\],543.95µm
s_rdata\[121\],543.665µm
s_rdata\[35\],541.935µm
cpu_awaddr\[13\],541.43µm
s_araddr\[55\],539.58µm
s_awaddr\[35\],539.005µm
s_awaddr\[42\],538.795µm
s_wdata\[38\],537µm
cpu_rdata\[15\],536.965µm
s_rdata\[50\],536.455µm
s_awaddr\[119\],535.93µm
s_rdata\[108\],535.625µm
s_awaddr\[123\],534.15µm
s_awaddr\[107\],533.855µm
s_awaddr\[103\],533.375µm
cpu_wdata\[20\],532.03µm
s_araddr\[63\],531.97µm
s_rdata\[62\],531.97µm
cpu_rdata\[17\],530.95µm
s_araddr\[50\],530.41µm
s_awaddr\[120\],530.39µm
cpu_wdata\[5\],530.315µm
s_rdata\[59\],528.885µm
cpu_rdata\[16\],527.59µm
s_rdata\[36\],526.33µm
s_rdata\[119\],525.645µm
s_wdata\[45\],523.77µm
s_rdata\[52\],523.67µm
cpu_wstrb\[2\],523.005µm
s_araddr\[114\],521.465µm
s_rready\[1\],520.995µm
s_rdata\[56\],520.935µm
s_araddr\[112\],520.745µm
s_wdata\[32\],519.6µm
cpu_wdata\[15\],519.395µm
cpu_wstrb\[3\],519.315µm
s_rdata\[101\],519.285µm
s_araddr\[44\],519.005µm
s_awaddr\[117\],518.23µm
s_wstrb\[12\],516.98µm
s_wdata\[60\],516.815µm
s_rdata\[127\],516.185µm
s_awaddr\[122\],514.91µm
s_rdata\[33\],513.74µm
cpu_wdata\[7\],513.095µm
s_araddr\[107\],511.485µm
s_rdata\[96\],510.765µm
s_rdata\[120\],509.945µm
s_awaddr\[118\],509.29µm
s_rdata\[54\],507.92µm
s_araddr\[46\],507.25µm
cpu_awaddr\[2\],505.89µm
s_awaddr\[116\],505.19µm
cpu_wdata\[19\],503.915µm
s_rdata\[44\],503.855µm
cpu_wdata\[23\],502.875µm
s_rdata\[57\],502.21µm
s_araddr\[60\],501.61µm
s_araddr\[104\],499.495µm
s_rdata\[58\],497.65µm
s_awaddr\[52\],497.39µm
s_awaddr\[56\],497.39µm
