net,length_um
_105_,5.11µm
net521,5.06µm
net532,5.06µm
_167_,5.04µm
_032_,4.87µm
_174_,4.86µm
_224_,4.86µm
awaddr_q\[3\],4.86µm
net84,4.86µm
net427,4.765µm
_055_,4.74µm
_092_,4.74µm
net536,4.72µm
net523,4.675µm
net541,4.675µm
net503,4.58µm
net525,4.58µm
net526,4.58µm
net528,4.58µm
net529,4.58µm
net539,4.58µm
net542,4.58µm
net543,4.58µm
net545,4.58µm
_199_,4.57µm
net527,4.57µm
_022_,4.47µm
_030_,4.44µm
_063_,4.38µm
_094_,4.38µm
_101_,4.38µm
_102_,4.38µm
_254_,4.38µm
net97,4.38µm
net126,4.38µm
sram_addr\[2\],4.38µm
sram_addr\[7\],4.38µm
_065_,4.26µm
_103_,4.26µm
_109_,4.26µm
_299_,4.1µm
_265_,4.09µm
_310_,4.09µm
_031_,4.02µm
_038_,4.02µm
_050_,4.02µm
net551,4.02µm
wdata_q\[22\],3.96µm
wstrb_q\[2\],3.96µm
net346,3.96µm
_037_,3.91µm
_048_,3.91µm
_220_,3.9µm
